12-24 13:44:21.824 [main] INFO  o.p.config.shiro.ShiroConfiguration - ShiroConfiguration.getLifecycleBeanPostProcessor()
12-24 13:44:22.089 [main] INFO  o.p.config.shiro.ShiroConfiguration - 配置核心安全事务管理器: securityManager()
12-24 13:44:22.089 [main] INFO  o.p.config.shiro.ShiroConfiguration - 配置自定义的权限登录器: shiroConfigRealm()
12-24 13:44:22.144 [main] INFO  o.p.config.shiro.ShiroConfiguration - shiroconfiguration-shirFilter
12-24 13:44:22.317 [main] INFO  org.reflections.Reflections - Reflections took 123 ms to scan 7 urls, producing 50 keys and 329 values 
12-24 13:44:22.348 [main] INFO  o.p.config.shiro.ShiroConfiguration - auth  path:/v1/auth/loginout
12-24 13:44:22.349 [main] INFO  o.p.config.shiro.ShiroConfiguration - auth  path:/v1/auth/login
12-24 13:44:22.349 [main] INFO  o.p.config.shiro.ShiroConfiguration - auth  path:/common
12-24 13:44:22.349 [main] INFO  o.p.config.shiro.ShiroConfiguration - auth  path:/v1/auth/**
12-24 13:44:22.376 [main] INFO  org.reflections.Reflections - Reflections took 27 ms to scan 7 urls, producing 50 keys and 329 values 
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/news/getAll/{pageSize}/{pageNumber}
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/supplier/getAllByQuery
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/file/download
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/qualityEvent/saveOrUpdate
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/party/**
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/role/**
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/depart/getAllDepat
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/supplierType/getAll
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/equipType/**
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/arms/getArms/{pageSize}/{pageNumber}
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/equipment/getById/{id}
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/link/addLink
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/roomReservation/getAllByQuery
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/link/getById/{id}
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/reports/top
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/roomReservation/delete
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/vehiclePick/delete
12-24 13:44:22.395 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/reports/getAll/{pageSize}/{pageNumber}
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/party/addAndUpdate
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/workDynamics/addAndUpdate
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/news/top
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/user/updateUser
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/qualityDeal/getById/{id}
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/qualityNotice/**
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/qualityNotice/getAll
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/file/upload
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/vehiclePick/getAllByQuery
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/equipment/saveOrUpdate
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/tenderOrgation/delete
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/reports/addAndUpdate
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/qualityDeal/saveOrUpdate
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/link/update
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/managementRegulation/line
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/workDynamics/getAll/{pageSize}/{pageNumber}
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/managementRegulation/top
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/qualityNotice/getById/{id}
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/marketInformation/line
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/workDynamics/top
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/equipment/**
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/user/**
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/reports/push
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/managementRegulation/push
12-24 13:44:22.396 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/supplier/saveOrUpdate
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/user/addUser
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/user/getById/{id}
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/tenderOrgation/**
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/reports/line
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/qualityNotice/saveOrUpdate
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/party/top
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/marketInformation/push
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/user/updatePassword
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/orderingMeals/getAllByQuery
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/party/getById/{id}
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/workDynamics/getById/{id}
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/supplier/getById/{id}
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/industry/**
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/supplier/delete
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/link/top
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/arms/saveOrUpdate
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/link/**
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/orderingMeals/delete
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/workDynamics/line
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/marketInformation/top
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/user/getAllUser
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/news/**
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/roomReservation/getById/{id}
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/arms/top
12-24 13:44:22.397 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/equipment/getAllByQuery
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/dataDownload/**
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/news/push
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/supplier/getAll
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/link/push
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/reports/**
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/managementRegulation/getById/{id}
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/file/downloadHead
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/subject/**
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/news/addAndUpdate
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/qualityNotice/getAllByQuery
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/workDynamics/push
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/link/getLinked
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/industry/getAll
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/marketInformation/getById/{id}
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/user/disableUser
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/supplierType/**
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/qualityEvent/**
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/news/line
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/qualityDeal/delete
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/supplier/**
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/workDynamics/**
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/link/delete
12-24 13:44:22.398 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/link/line
12-24 13:44:22.399 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/tenderOrgation/saveOrUpdate
12-24 13:44:22.399 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/vehiclePick/saveOrUpdate
12-24 13:44:22.399 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/file/uploadHead
12-24 13:44:22.399 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/party/line
12-24 13:44:22.399 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/roomReservation/saveOrUpdate
12-24 13:44:22.399 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/arms/getById/{id}
12-24 13:44:22.399 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/marketInformation/**
12-24 13:44:22.399 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/tenderOrgation/getAllByQuery
12-24 13:44:22.399 [main] INFO  o.p.config.shiro.ShiroConfiguration - oauth  path:/v1/managementRegulation/**
